line,group_id,company,accident_year,exposure
comauto,1538,Farmers Automobile Grp,1992,11808
comauto,1538,Farmers Automobile Grp,1993,12514
comauto,1538,Farmers Automobile Grp,1994,13460
comauto,1538,Farmers Automobile Grp,1995,14206
comauto,1538,Farmers Automobile Grp,1996,14231
comauto,1538,Farmers Automobile Grp,1997,13929
comauto,1716,Germania Ins Grp,1988,122
comauto,1716,Germania Ins Grp,1989,118
comauto,1716,Germania Ins Grp,1990,206
comauto,1716,Germania Ins Grp,1991,290
comauto,1716,Germania Ins Grp,1992,381
comauto,1716,Germania Ins Grp,1993,435
comauto,1716,Germania Ins Grp,1994,457
comauto,1716,Germania Ins Grp,1995,552
comauto,1716,Germania Ins Grp,1996,590
comauto,1716,Germania Ins Grp,1997,706
comauto,1767,State Farm Mut Grp,1988,286378
comauto,1767,State Farm Mut Grp,1989,308908
comauto,1767,State Farm Mut Grp,1990,326503
comauto,1767,State Farm Mut Grp,1991,332616
comauto,1767,State Farm Mut Grp,1992,341890
comauto,1767,State Farm Mut Grp,1993,355840
comauto,1767,State Farm Mut Grp,1994,379781
comauto,1767,State Farm Mut Grp,1995,398755
comauto,1767,State Farm Mut Grp,1996,406609
comauto,1767,State Farm Mut Grp,1997,406516
comauto,2003,United Services Automobile Asn Grp,1988,754
comauto,2003,United Services Automobile Asn Grp,1989,775
comauto,2003,United Services Automobile Asn Grp,1990,836
comauto,2003,United Services Automobile Asn Grp,1991,876
comauto,2003,United Services Automobile Asn Grp,1992,650
comauto,2003,United Services Automobile Asn Grp,1993,729
comauto,2003,United Services Automobile Asn Grp,1994,683
comauto,2003,United Services Automobile Asn Grp,1995,443
comauto,2003,United Services Automobile Asn Grp,1996,406
comauto,2003,United Services Automobile Asn Grp,1997,326
comauto,2135,Erie Ins Exchange Grp,1988,39383
comauto,2135,Erie Ins Exchange Grp,1989,44770
comauto,2135,Erie Ins Exchange Grp,1990,50914
comauto,2135,Erie Ins Exchange Grp,1991,56904
comauto,2135,Erie Ins Exchange Grp,1992,62551
comauto,2135,Erie Ins Exchange Grp,1993,67205
comauto,2135,Erie Ins Exchange Grp,1994,74056
comauto,2135,Erie Ins Exchange Grp,1995,81035
comauto,2135,Erie Ins Exchange Grp,1996,90568
comauto,2135,Erie Ins Exchange Grp,1997,99940
comauto,2143,Farmers Alliance Mut & Affiliates,1988,2918
comauto,2143,Farmers Alliance Mut & Affiliates,1989,3259
comauto,2143,Farmers Alliance Mut & Affiliates,1990,3659
comauto,2143,Farmers Alliance Mut & Affiliates,1991,3922
comauto,2143,Farmers Alliance Mut & Affiliates,1992,4131
comauto,2143,Farmers Alliance Mut & Affiliates,1993,5258
comauto,2143,Farmers Alliance Mut & Affiliates,1994,8253
comauto,2143,Farmers Alliance Mut & Affiliates,1995,9019
comauto,2143,Farmers Alliance Mut & Affiliates,1996,9553
comauto,2143,Farmers Alliance Mut & Affiliates,1997,9822
comauto,2208,Oklahoma Farm Grp,1988,667
comauto,2208,Oklahoma Farm Grp,1989,565
comauto,2208,Oklahoma Farm Grp,1990,649
comauto,2208,Oklahoma Farm Grp,1991,651
comauto,2208,Oklahoma Farm Grp,1992,755
comauto,2208,Oklahoma Farm Grp,1993,912
comauto,2208,Oklahoma Farm Grp,1994,1041
comauto,2208,Oklahoma Farm Grp,1995,1159
comauto,2208,Oklahoma Farm Grp,1996,1191
comauto,2208,Oklahoma Farm Grp,1997,1282
comauto,2569,New York Marine & General Ins Co,1988,0
comauto,2569,New York Marine & General Ins Co,1989,0
comauto,2569,New York Marine & General Ins Co,1990,0
comauto,2569,New York Marine & General Ins Co,1991,0
comauto,2569,New York Marine & General Ins Co,1992,0
comauto,2569,New York Marine & General Ins Co,1993,0
comauto,2569,New York Marine & General Ins Co,1994,0
comauto,2569,New York Marine & General Ins Co,1995,33
comauto,2569,New York Marine & General Ins Co,1996,2
comauto,2569,New York Marine & General Ins Co,1997,0
comauto,2623,Canal Ins Co Grp,1988,64523
comauto,2623,Canal Ins Co Grp,1989,49466
comauto,2623,Canal Ins Co Grp,1990,58136
comauto,2623,Canal Ins Co Grp,1991,74222
comauto,2623,Canal Ins Co Grp,1992,81017
comauto,2623,Canal Ins Co Grp,1993,93522
comauto,2623,Canal Ins Co Grp,1994,102327
comauto,2623,Canal Ins Co Grp,1995,95842
comauto,2623,Canal Ins Co Grp,1996,95732
comauto,2623,Canal Ins Co Grp,1997,82991
comauto,2712,Pennsylvania Natl Ins Grp,1988,42874
comauto,2712,Pennsylvania Natl Ins Grp,1989,38829
comauto,2712,Pennsylvania Natl Ins Grp,1990,43001
comauto,2712,Pennsylvania Natl Ins Grp,1991,41840
comauto,2712,Pennsylvania Natl Ins Grp,1992,44525
comauto,2712,Pennsylvania Natl Ins Grp,1993,50923
comauto,2712,Pennsylvania Natl Ins Grp,1994,56601
comauto,2712,Pennsylvania Natl Ins Grp,1995,54609
comauto,2712,Pennsylvania Natl Ins Grp,1996,47204
comauto,2712,Pennsylvania Natl Ins Grp,1997,42412
comauto,3131,Aegis Grp,1988,0
comauto,3131,Aegis Grp,1989,6
comauto,3131,Aegis Grp,1990,4
comauto,3131,Aegis Grp,1991,2
comauto,3131,Aegis Grp,1992,1
comauto,3131,Aegis Grp,1993,0
comauto,3131,Aegis Grp,1994,0
comauto,3131,Aegis Grp,1995,0
comauto,3131,Aegis Grp,1996,0
comauto,3131,Aegis Grp,1997,0
comauto,3240,NC Farm Bureau Ins Grp,1988,10136
comauto,3240,NC Farm Bureau Ins Grp,1989,13539
comauto,3240,NC Farm Bureau Ins Grp,1990,14410
comauto,3240,NC Farm Bureau Ins Grp,1991,15336
comauto,3240,NC Farm Bureau Ins Grp,1992,15336
comauto,3240,NC Farm Bureau Ins Grp,1993,14772
comauto,3240,NC Farm Bureau Ins Grp,1994,18809
comauto,3240,NC Farm Bureau Ins Grp,1995,19549
comauto,3240,NC Farm Bureau Ins Grp,1996,20124
comauto,3240,NC Farm Bureau Ins Grp,1997,18274
comauto,3492,Florists Mut Ins Grp,1988,5100
comauto,3492,Florists Mut Ins Grp,1989,5973
comauto,3492,Florists Mut Ins Grp,1990,6901
comauto,3492,Florists Mut Ins Grp,1991,7711
comauto,3492,Florists Mut Ins Grp,1992,8353
comauto,3492,Florists Mut Ins Grp,1993,9156
comauto,3492,Florists Mut Ins Grp,1994,9551
comauto,3492,Florists Mut Ins Grp,1995,8997
comauto,3492,Florists Mut Ins Grp,1996,7848
comauto,3492,Florists Mut Ins Grp,1997,7325
comauto,4839,FL Farm Bureau Grp,1988,23059
comauto,4839,FL Farm Bureau Grp,1989,23728
comauto,4839,FL Farm Bureau Grp,1990,23511
comauto,4839,FL Farm Bureau Grp,1991,22194
comauto,4839,FL Farm Bureau Grp,1992,22541
comauto,4839,FL Farm Bureau Grp,1993,23548
comauto,4839,FL Farm Bureau Grp,1994,25993
comauto,4839,FL Farm Bureau Grp,1995,26046
comauto,4839,FL Farm Bureau Grp,1996,26498
comauto,4839,FL Farm Bureau Grp,1997,29077
comauto,5185,Grinnell Mut Grp,1988,6093
comauto,5185,Grinnell Mut Grp,1989,7396
comauto,5185,Grinnell Mut Grp,1990,8038
comauto,5185,Grinnell Mut Grp,1991,9366
comauto,5185,Grinnell Mut Grp,1992,10677
comauto,5185,Grinnell Mut Grp,1993,11012
comauto,5185,Grinnell Mut Grp,1994,11768
comauto,5185,Grinnell Mut Grp,1995,12777
comauto,5185,Grinnell Mut Grp,1996,13803
comauto,5185,Grinnell Mut Grp,1997,14575
comauto,5320,Cameron Mut Grp,1988,1289
comauto,5320,Cameron Mut Grp,1989,1511
comauto,5320,Cameron Mut Grp,1990,1747
comauto,5320,Cameron Mut Grp,1991,1711
comauto,5320,Cameron Mut Grp,1992,1672
comauto,5320,Cameron Mut Grp,1993,1585
comauto,5320,Cameron Mut Grp,1994,1605
comauto,5320,Cameron Mut Grp,1995,1688
comauto,5320,Cameron Mut Grp,1996,1555
comauto,5320,Cameron Mut Grp,1997,1007
comauto,5690,Farmers Mtl Hail Ins Co Of Ia Grp,1988,0
comauto,5690,Farmers Mtl Hail Ins Co Of Ia Grp,1989,0
comauto,5690,Farmers Mtl Hail Ins Co Of Ia Grp,1990,0
comauto,5690,Farmers Mtl Hail Ins Co Of Ia Grp,1991,0
comauto,5690,Farmers Mtl Hail Ins Co Of Ia Grp,1992,0
comauto,5690,Farmers Mtl Hail Ins Co Of Ia Grp,1993,40
comauto,5690,Farmers Mtl Hail Ins Co Of Ia Grp,1994,18
comauto,5690,Farmers Mtl Hail Ins Co Of Ia Grp,1995,6
comauto,5690,Farmers Mtl Hail Ins Co Of Ia Grp,1996,20
comauto,5690,Farmers Mtl Hail Ins Co Of Ia Grp,1997,20
comauto,5940,American Contractors Ins Grp,1988,1450
comauto,5940,American Contractors Ins Grp,1989,1666
comauto,5940,American Contractors Ins Grp,1990,763
comauto,5940,American Contractors Ins Grp,1991,455
comauto,5940,American Contractors Ins Grp,1992,196
comauto,5940,American Contractors Ins Grp,1993,241
comauto,5940,American Contractors Ins Grp,1994,114
comauto,5940,American Contractors Ins Grp,1995,51
comauto,5940,American Contractors Ins Grp,1996,490
comauto,5940,American Contractors Ins Grp,1997,1046
comauto,6408,Mutual Benefit Grp,1988,1059
comauto,6408,Mutual Benefit Grp,1989,1077
comauto,6408,Mutual Benefit Grp,1990,1319
comauto,6408,Mutual Benefit Grp,1991,1835
comauto,6408,Mutual Benefit Grp,1992,2262
comauto,6408,Mutual Benefit Grp,1993,2486
comauto,6408,Mutual Benefit Grp,1994,2865
comauto,6408,Mutual Benefit Grp,1995,3193
comauto,6408,Mutual Benefit Grp,1996,3179
comauto,6408,Mutual Benefit Grp,1997,3092
comauto,6459,Oregon Mut Grp,1988,995
comauto,6459,Oregon Mut Grp,1989,1128
comauto,6459,Oregon Mut Grp,1990,1280
comauto,6459,Oregon Mut Grp,1991,1410
comauto,6459,Oregon Mut Grp,1992,1583
comauto,6459,Oregon Mut Grp,1993,1825
comauto,6459,Oregon Mut Grp,1994,1985
comauto,6459,Oregon Mut Grp,1995,2111
comauto,6459,Oregon Mut Grp,1996,2249
comauto,6459,Oregon Mut Grp,1997,2203
comauto,6777,Philadelphia Ind Ins Co & Aff,1988,10370
comauto,6777,Philadelphia Ind Ins Co & Aff,1989,10094
comauto,6777,Philadelphia Ind Ins Co & Aff,1990,12246
comauto,6777,Philadelphia Ind Ins Co & Aff,1991,18752
comauto,6777,Philadelphia Ind Ins Co & Aff,1992,25825
comauto,6777,Philadelphia Ind Ins Co & Aff,1993,15938
comauto,6777,Philadelphia Ind Ins Co & Aff,1994,17790
comauto,6777,Philadelphia Ind Ins Co & Aff,1995,14650
comauto,6777,Philadelphia Ind Ins Co & Aff,1996,10337
comauto,6777,Philadelphia Ind Ins Co & Aff,1997,9232
comauto,6807,Amerisafe Grp,1988,74
comauto,6807,Amerisafe Grp,1989,147
comauto,6807,Amerisafe Grp,1990,140
comauto,6807,Amerisafe Grp,1991,1
comauto,6807,Amerisafe Grp,1992,0
comauto,6807,Amerisafe Grp,1993,0
comauto,6807,Amerisafe Grp,1994,0
comauto,6807,Amerisafe Grp,1995,0
comauto,6807,Amerisafe Grp,1996,0
comauto,6807,Amerisafe Grp,1997,0
comauto,6947,Tenn Farmers Mut,1988,2488
comauto,6947,Tenn Farmers Mut,1989,2527
comauto,6947,Tenn Farmers Mut,1990,2750
comauto,6947,Tenn Farmers Mut,1991,2895
comauto,6947,Tenn Farmers Mut,1992,2966
comauto,6947,Tenn Farmers Mut,1993,3156
comauto,6947,Tenn Farmers Mut,1994,3536
comauto,6947,Tenn Farmers Mut,1995,3770
comauto,6947,Tenn Farmers Mut,1996,3886
comauto,6947,Tenn Farmers Mut,1997,4054
comauto,7080,New Jersey Manufacturers Grp,1988,46468
comauto,7080,New Jersey Manufacturers Grp,1989,52078
comauto,7080,New Jersey Manufacturers Grp,1990,55307
comauto,7080,New Jersey Manufacturers Grp,1991,58749
comauto,7080,New Jersey Manufacturers Grp,1992,58316
comauto,7080,New Jersey Manufacturers Grp,1993,56160
comauto,7080,New Jersey Manufacturers Grp,1994,54194
comauto,7080,New Jersey Manufacturers Grp,1995,54061
comauto,7080,New Jersey Manufacturers Grp,1996,48084
comauto,7080,New Jersey Manufacturers Grp,1997,43290
comauto,8079,Columbia Ins Grp,1988,880
comauto,8079,Columbia Ins Grp,1989,1175
comauto,8079,Columbia Ins Grp,1990,1266
comauto,8079,Columbia Ins Grp,1991,1391
comauto,8079,Columbia Ins Grp,1992,1899
comauto,8079,Columbia Ins Grp,1993,2553
comauto,8079,Columbia Ins Grp,1994,3430
comauto,8079,Columbia Ins Grp,1995,3378
comauto,8079,Columbia Ins Grp,1996,4041
comauto,8079,Columbia Ins Grp,1997,4960
comauto,8281,Amguard Norguard & Eastguard Grp,1988,0
comauto,8281,Amguard Norguard & Eastguard Grp,1989,0
comauto,8281,Amguard Norguard & Eastguard Grp,1990,113
comauto,8281,Amguard Norguard & Eastguard Grp,1991,205
comauto,8281,Amguard Norguard & Eastguard Grp,1992,293
comauto,8281,Amguard Norguard & Eastguard Grp,1993,362
comauto,8281,Amguard Norguard & Eastguard Grp,1994,273
comauto,8281,Amguard Norguard & Eastguard Grp,1995,9
comauto,8281,Amguard Norguard & Eastguard Grp,1996,0
comauto,8281,Amguard Norguard & Eastguard Grp,1997,0
comauto,8427,Farm Bureau Grp,1988,652
comauto,8427,Farm Bureau Grp,1989,769
comauto,8427,Farm Bureau Grp,1990,861
comauto,8427,Farm Bureau Grp,1991,1026
comauto,8427,Farm Bureau Grp,1992,842
comauto,8427,Farm Bureau Grp,1993,1391
comauto,8427,Farm Bureau Grp,1994,1365
comauto,8427,Farm Bureau Grp,1995,1506
comauto,8427,Farm Bureau Grp,1996,1702
comauto,8427,Farm Bureau Grp,1997,1951
comauto,8559,Millers Mut Ins Assoc,1988,4403
comauto,8559,Millers Mut Ins Assoc,1989,4074
comauto,8559,Millers Mut Ins Assoc,1990,4179
comauto,8559,Millers Mut Ins Assoc,1991,3875
comauto,8559,Millers Mut Ins Assoc,1992,3153
comauto,8559,Millers Mut Ins Assoc,1993,3246
comauto,8559,Millers Mut Ins Assoc,1994,2613
comauto,8559,Millers Mut Ins Assoc,1995,1989
comauto,8559,Millers Mut Ins Assoc,1996,2443
comauto,8559,Millers Mut Ins Assoc,1997,2582
comauto,8672,Protective Ins Grp,1988,38729
comauto,8672,Protective Ins Grp,1989,36457
comauto,8672,Protective Ins Grp,1990,38184
comauto,8672,Protective Ins Grp,1991,38861
comauto,8672,Protective Ins Grp,1992,32484
comauto,8672,Protective Ins Grp,1993,28432
comauto,8672,Protective Ins Grp,1994,27004
comauto,8672,Protective Ins Grp,1995,15017
comauto,8672,Protective Ins Grp,1996,7311
comauto,8672,Protective Ins Grp,1997,3637
comauto,9466,Lumber Ins Cos,1988,4926
comauto,9466,Lumber Ins Cos,1989,4534
comauto,9466,Lumber Ins Cos,1990,4800
comauto,9466,Lumber Ins Cos,1991,5511
comauto,9466,Lumber Ins Cos,1992,7352
comauto,9466,Lumber Ins Cos,1993,9775
comauto,9466,Lumber Ins Cos,1994,12698
comauto,9466,Lumber Ins Cos,1995,19226
comauto,9466,Lumber Ins Cos,1996,28256
comauto,9466,Lumber Ins Cos,1997,26155
comauto,10019,Overseas Partners Us Reins Co,1988,0
comauto,10019,Overseas Partners Us Reins Co,1989,0
comauto,10019,Overseas Partners Us Reins Co,1990,0
comauto,10019,Overseas Partners Us Reins Co,1991,0
comauto,10019,Overseas Partners Us Reins Co,1992,0
comauto,10019,Overseas Partners Us Reins Co,1993,0
comauto,10019,Overseas Partners Us Reins Co,1994,0
comauto,10019,Overseas Partners Us Reins Co,1995,451
comauto,10019,Overseas Partners Us Reins Co,1996,3492
comauto,10019,Overseas Partners Us Reins Co,1997,1895
comauto,10022,Agway Ins Co,1988,983
comauto,10022,Agway Ins Co,1989,574
comauto,10022,Agway Ins Co,1990,723
comauto,10022,Agway Ins Co,1991,1061
comauto,10022,Agway Ins Co,1992,1281
comauto,10022,Agway Ins Co,1993,1393
comauto,10022,Agway Ins Co,1994,1692
comauto,10022,Agway Ins Co,1995,1371
comauto,10022,Agway Ins Co,1996,1360
comauto,10022,Agway Ins Co,1997,1652
comauto,10048,Hyundai Marine & Fire Ins Co Ltd,1988,0
comauto,10048,Hyundai Marine & Fire Ins Co Ltd,1989,0
comauto,10048,Hyundai Marine & Fire Ins Co Ltd,1990,0
comauto,10048,Hyundai Marine & Fire Ins Co Ltd,1991,0
comauto,10048,Hyundai Marine & Fire Ins Co Ltd,1992,0
comauto,10048,Hyundai Marine & Fire Ins Co Ltd,1993,0
comauto,10048,Hyundai Marine & Fire Ins Co Ltd,1994,30
comauto,10048,Hyundai Marine & Fire Ins Co Ltd,1995,52
comauto,10048,Hyundai Marine & Fire Ins Co Ltd,1996,64
comauto,10048,Hyundai Marine & Fire Ins Co Ltd,1997,44
comauto,10074,Martingale Natl Ins Co,1988,0
comauto,10074,Martingale Natl Ins Co,1989,0
comauto,10074,Martingale Natl Ins Co,1990,0
comauto,10074,Martingale Natl Ins Co,1991,0
comauto,10074,Martingale Natl Ins Co,1992,0
comauto,10074,Martingale Natl Ins Co,1993,0
comauto,10074,Martingale Natl Ins Co,1994,564
comauto,10074,Martingale Natl Ins Co,1995,892
comauto,10074,Martingale Natl Ins Co,1996,1196
comauto,10074,Martingale Natl Ins Co,1997,1537
comauto,10100,Proformance Ins Co (The),1988,0
comauto,10100,Proformance Ins Co (The),1989,0
comauto,10100,Proformance Ins Co (The),1990,0
comauto,10100,Proformance Ins Co (The),1991,0
comauto,10100,Proformance Ins Co (The),1992,0
comauto,10100,Proformance Ins Co (The),1993,0
comauto,10100,Proformance Ins Co (The),1994,0
comauto,10100,Proformance Ins Co (The),1995,322
comauto,10100,Proformance Ins Co (The),1996,2625
comauto,10100,Proformance Ins Co (The),1997,4637
comauto,10308,Antilles Ins Co,1988,587
comauto,10308,Antilles Ins Co,1989,539
comauto,10308,Antilles Ins Co,1990,709
comauto,10308,Antilles Ins Co,1991,619
comauto,10308,Antilles Ins Co,1992,825
comauto,10308,Antilles Ins Co,1993,1008
comauto,10308,Antilles Ins Co,1994,1139
comauto,10308,Antilles Ins Co,1995,857
comauto,10308,Antilles Ins Co,1996,624
comauto,10308,Antilles Ins Co,1997,626
comauto,10561,Catholic Relief Ins Co Of Amer,1988,0
comauto,10561,Catholic Relief Ins Co Of Amer,1989,0
comauto,10561,Catholic Relief Ins Co Of Amer,1990,146
comauto,10561,Catholic Relief Ins Co Of Amer,1991,1022
comauto,10561,Catholic Relief Ins Co Of Amer,1992,727
comauto,10561,Catholic Relief Ins Co Of Amer,1993,0
comauto,10561,Catholic Relief Ins Co Of Amer,1994,0
comauto,10561,Catholic Relief Ins Co Of Amer,1995,0
comauto,10561,Catholic Relief Ins Co Of Amer,1996,0
comauto,10561,Catholic Relief Ins Co Of Amer,1997,0
comauto,10790,American Vehicle Ins Co,1988,330
comauto,10790,American Vehicle Ins Co,1989,557
comauto,10790,American Vehicle Ins Co,1990,754
comauto,10790,American Vehicle Ins Co,1991,1193
comauto,10790,American Vehicle Ins Co,1992,1151
comauto,10790,American Vehicle Ins Co,1993,305
comauto,10790,American Vehicle Ins Co,1994,0
comauto,10790,American Vehicle Ins Co,1995,0
comauto,10790,American Vehicle Ins Co,1996,0
comauto,10790,American Vehicle Ins Co,1997,0
comauto,10859,First Nonprofit Mut Ins Co,1988,252
comauto,10859,First Nonprofit Mut Ins Co,1989,215
comauto,10859,First Nonprofit Mut Ins Co,1990,265
comauto,10859,First Nonprofit Mut Ins Co,1991,520
comauto,10859,First Nonprofit Mut Ins Co,1992,625
comauto,10859,First Nonprofit Mut Ins Co,1993,249
comauto,10859,First Nonprofit Mut Ins Co,1994,797
comauto,10859,First Nonprofit Mut Ins Co,1995,1224
comauto,10859,First Nonprofit Mut Ins Co,1996,1381
comauto,10859,First Nonprofit Mut Ins Co,1997,1485
comauto,10894,United Grp Captive Ins Co,1988,0
comauto,10894,United Grp Captive Ins Co,1989,0
comauto,10894,United Grp Captive Ins Co,1990,0
comauto,10894,United Grp Captive Ins Co,1991,0
comauto,10894,United Grp Captive Ins Co,1992,0
comauto,10894,United Grp Captive Ins Co,1993,0
comauto,10894,United Grp Captive Ins Co,1994,0
comauto,10894,United Grp Captive Ins Co,1995,269
comauto,10894,United Grp Captive Ins Co,1996,440
comauto,10894,United Grp Captive Ins Co,1997,427
comauto,11037,Eveready Ins Co,1988,3527
comauto,11037,Eveready Ins Co,1989,3157
comauto,11037,Eveready Ins Co,1990,3504
comauto,11037,Eveready Ins Co,1991,2768
comauto,11037,Eveready Ins Co,1992,3035
comauto,11037,Eveready Ins Co,1993,2933
